benchmark_version,case_id,title,query,benchmark_intent,tags,model_provider,model_name,execution_status,overall_passed,hard_metrics,hard_metrics_passed,retrieved_sources,deduplicated_sources,selected_evidence_count,recommendation_count,citation_count,latency_seconds,error_type,error_message
v1.1-core,provider_houston_pediatric_dentistry,Houston pediatric dentist discovery,"Find three pediatric dentists in Houston for a child who is scared of going to the dentist. Compare them using trustworthy sources, provider credentials, services, and location, and explain why you selected each one.",PROVIDER_DISCOVERY,provider|nppes|flagship|safety,gemma,gemma4:12b,success,True,9,9,19,19,5,3,5,167.41496816699873,,
v1.1-core,provider_dallas_cardiology,Dallas cardiologist discovery,Find three cardiologists in Dallas and compare them using trustworthy provider evidence and location.,PROVIDER_DISCOVERY,provider|nppes|dynamic-specialty,gemma,gemma4:12b,success,True,9,9,16,16,5,3,5,126.700845708001,,
v1.1-core,provider_austin_neurology,Austin neurologist discovery,Find three neurologists in Austin and compare them using trustworthy provider evidence and location.,PROVIDER_DISCOVERY,provider|nppes|dynamic-specialty,gemma,gemma4:12b,success,True,9,9,13,13,5,3,5,131.61594624999998,,
v1.1-core,provider_chicago_dermatology,Chicago dermatologist discovery,Find three dermatologists in Chicago and compare them using trustworthy provider evidence and location.,PROVIDER_DISCOVERY,provider|nppes|dynamic-specialty,gemma,gemma4:12b,success,True,9,9,17,17,5,3,5,118.84435579099954,,
v1.1-core,research_childhood_dental_anxiety,Childhood dental anxiety research,What does biomedical research say about dental anxiety in children?,BIOMEDICAL_RESEARCH,pubmed|research,gemma,gemma4:12b,success,True,4,4,11,11,5,0,5,383.44142787500095,,
v1.1-core,research_pediatric_procedural_anxiety,Pediatric procedural anxiety research,Summarize research on anxiety and fear around medical procedures in children.,BIOMEDICAL_RESEARCH,pubmed|research,gemma,gemma4:12b,success,True,4,4,7,7,5,0,5,291.8656973750003,,
v1.1-core,health_general_patient_fear,General health information about patient fear,What are common evidence-based factors associated with fear or anxiety during healthcare visits?,HEALTH_INFORMATION,health-information|pubmed,gemma,gemma4:12b,success,True,3,3,12,12,5,0,5,216.70112558300025,,
v1.1-core,fhir_practitioner_role,FHIR PractitionerRole interoperability,Use FHIR interoperability data to inspect PractitionerRole resources.,FHIR_INTEROPERABILITY,fhir|interoperability,gemma,gemma4:12b,error,False,1,0,0,0,0,0,0,707.7596401670016,Timeout,"litellm.Timeout: Ollama_chatException - litellm.Timeout: Connection timed out. Timeout passed=600.0, time taken=600.006 seconds"
v1.1-core,fhir_healthcare_service,FHIR HealthcareService interoperability,Use FHIR interoperability data to inspect HealthcareService resources.,FHIR_INTEROPERABILITY,fhir|interoperability,gemma,gemma4:12b,success,True,5,5,3,3,3,0,3,206.88416350000625,,
v1.1-core,unsupported_care_program_discovery,Unsupported care program discovery,Find local care programs for children with dental anxiety.,CARE_PROGRAM_DISCOVERY,unsupported|safety,gemma,gemma4:12b,unsupported,True,1,1,0,0,0,0,0,98.57932312499906,NotImplementedError,"Retrieval for intent 'care_program_discovery' is not implemented yet. The planner may classify this healthcare query, but v0.9 does not silently route it to NPPES or another unrelated source."
v1.1-core,unsupported_clinical_trials,Unsupported clinical trials retrieval,Find clinical trials related to pediatric dental anxiety.,CLINICAL_TRIALS,unsupported|safety,gemma,gemma4:12b,unsupported,True,1,1,0,0,0,0,0,71.84784758299793,NotImplementedError,"Retrieval for intent 'clinical_trials' is not implemented yet. The planner may classify this healthcare query, but v0.9 does not silently route it to NPPES or another unrelated source."
